t,x,y,experiment
0.5,3.002759840501396,3.0522784367172466,exp1
1.0,2.8568212668276827,12.428327456385826,exp1
1.5,0.43855586062661756,19.20513719543056,exp1
2.0,1.018495334109284,12.095839859519117,exp1
2.5,0.23867123581158967,12.749717242306394,exp1
3.0,0.06973359917486052,10.278338630884885,exp1
3.5,0.0324898128896374,7.880856170831557,exp1
4.0,0.0260270550377704,5.962102620727066,exp1
4.5,0.03175842542429199,4.510415079365384,exp1
5.0,0.053004943170454524,3.444645045985065,exp1
5.5,0.11071853840956901,2.7037846509581343,exp1
6.0,0.2673215969069387,2.2857390504582233,exp1
6.5,0.6786799107960981,2.3606168738104474,exp1
7.0,1.4742994569187067,3.882706494671581,exp1
7.5,1.3821742469913805,9.378806242316074,exp1
8.0,0.3116184360397882,12.738360146886157,exp1
8.5,0.09076420992528123,10.52527585411746,exp1
9.0,0.03969389409835658,8.14327215015154,exp1
9.5,0.029913797130270914,6.184591224873964,exp1
